ENTIDAD,MUNICIPIO,NOMBRE,CLASIFICACIÓN,CP
15,125,AMPLIACION VALLE VERDE,COLONIA,55789
15,125,VALLE VERDE,COLONIA,55789
15,100,TEHCUAC,RANCHO,56250
15,14,SECCION II,CONJUNTO HABITACIONAL,50474
15,14,SECCION III,PUEBLO,50474
15,14,SECCION IV,PUEBLO,50474
15,14,SECCION I,PUEBLO,50474
15,74,EX RANCHO SAN DIMAS,FRACCIONAMIENTO,52282
15,82,LOS HEROES TECAMAC II BOSQUES SECC II,CONJUNTO HABITACIONAL,55764
15,20,CONJUNTO REAL DE LA LOMA II,BARRIO,55736
15,25,SAN JOSE PUENTE GRANDE,COLONIA,54713
15,12,LA REMOLACHA,COLONIA,52500
15,36,CITARA CD INTEGRAL HUEHUETOCA,FRACCIONAMIENTO,54696
15,91,ACATZINGO,PUEBLO,52300
15,91,SANTA CECILIA,PUEBLO,52300
15,55,FORESTA CRYSTAL LAGOONS,FRACCIONAMIENTO,52144
15,93,COMUNEROS,COLONIA,55816
15,93,COZOTLAN,COLONIA,55810
15,58,HUERTAS 2DA SECC,COLONIA,53427
15,58,EL PORVENIR,COLONIA,53427
15,58,LOMAS DE LOS REMEDIOS,COLONIA,53427
15,77,LA JOYA,FRACCIONAMIENTO,52105
